Experiment Title,,,,,,,,,
Well ID,Type,Contents,Protein Name,Protein Concentration,Tracer Name,Tracer Concentration,Competitor Name,Competitor Concentration,Concentration Units
A1,Compound,,Protein,5000,Tracer,50,Competitor 1,500000,nM
A2,Compound,,Protein,5000,Tracer,50,Competitor 1,250000,nM
A3,Compound,,Protein,5000,Tracer,50,Competitor 1,125000,nM
A4,Compound,,Protein,5000,Tracer,50,Competitor 1,62500,nM
A5,Compound,,Protein,5000,Tracer,50,Competitor 1,31250,nM
A6,Compound,,Protein,5000,Tracer,50,Competitor 1,15625,nM
A7,Compound,,Protein,5000,Tracer,50,Competitor 1,7812.5,nM
A8,Compound,,Protein,5000,Tracer,50,Competitor 1,3906.25,nM
A9,Compound,,Protein,5000,Tracer,50,Competitor 1,1953.125,nM
A10,Compound,,Protein,5000,Tracer,50,Competitor 1,976.5625,nM
A11,Compound,,Protein,5000,Tracer,50,Competitor 1,488.28125,nM
A12,Compound,,Protein,5000,Tracer,50,Competitor 1,244.140625,nM
A13,Compound,,Protein,5000,Tracer,50,Competitor 1,122.0703125,nM
A14,Compound,,Protein,5000,Tracer,50,Competitor 1,61.03515625,nM
A15,Compound,,Protein,5000,Tracer,50,Competitor 1,30.51757813,nM
A16,Compound,,Protein,5000,Tracer,50,Competitor 1,15.25878906,nM
A17,,,,,,,,,
A18,,,,,,,,,
A19,Blank,,Protein,5000,,,Competitor 2,500000,nM
A20,Blank,,Protein,5000,,,Competitor 2,500000,nM
A21,Blank,,Protein,5000,,,Competitor 2,500000,nM
A22,Compound,,Protein,5000,Tracer,50,Competitor 2,500000,nM
A23,Compound,,Protein,5000,Tracer,50,Competitor 2,500000,nM
A24,Compound,,Protein,5000,Tracer,50,Competitor 2,500000,nM
B1,Blank,,Protein,5000,,,Competitor 1,500000,nM
B2,Blank,,Protein,5000,,,Competitor 1,250000,nM
B3,Blank,,Protein,5000,,,Competitor 1,125000,nM
B4,Blank,,Protein,5000,,,Competitor 1,62500,nM
B5,Blank,,Protein,5000,,,Competitor 1,31250,nM
B6,Blank,,Protein,5000,,,Competitor 1,15625,nM
B7,Blank,,Protein,5000,,,Competitor 1,7812.5,nM
B8,Blank,,Protein,5000,,,Competitor 1,3906.25,nM
B9,Blank,,Protein,5000,,,Competitor 1,1953.125,nM
B10,Blank,,Protein,5000,,,Competitor 1,976.5625,nM
B11,Blank,,Protein,5000,,,Competitor 1,488.28125,nM
B12,Blank,,Protein,5000,,,Competitor 1,244.140625,nM
B13,Blank,,Protein,5000,,,Competitor 1,122.0703125,nM
B14,Blank,,Protein,5000,,,Competitor 1,61.03515625,nM
B15,Blank,,Protein,5000,,,Competitor 1,30.51757813,nM
B16,Blank,,Protein,5000,,,Competitor 1,15.25878906,nM
B17,,,,,,,,,
B18,,,,,,,,,
B19,Blank,,Protein,5000,,,Competitor 2,250000,nM
B20,Blank,,Protein,5000,,,Competitor 2,250000,nM
B21,Blank,,Protein,5000,,,Competitor 2,250000,nM
B22,Compound,,Protein,5000,Tracer,50,Competitor 2,250000,nM
B23,Compound,,Protein,5000,Tracer,50,Competitor 2,250000,nM
B24,Compound,,Protein,5000,Tracer,50,Competitor 2,250000,nM
C1,Compound,,Protein,5000,Tracer,50,Competitor 3,500000,nM
C2,Compound,,Protein,5000,Tracer,50,Competitor 3,250000,nM
C3,Compound,,Protein,5000,Tracer,50,Competitor 3,125000,nM
C4,Compound,,Protein,5000,Tracer,50,Competitor 3,62500,nM
C5,Compound,,Protein,5000,Tracer,50,Competitor 3,31250,nM
C6,Compound,,Protein,5000,Tracer,50,Competitor 3,15625,nM
C7,Compound,,Protein,5000,Tracer,50,Competitor 3,7812.5,nM
C8,Compound,,Protein,5000,Tracer,50,Competitor 3,3906.25,nM
C9,Compound,,Protein,5000,Tracer,50,Competitor 3,1953.125,nM
C10,Compound,,Protein,5000,Tracer,50,Competitor 3,976.5625,nM
C11,Compound,,Protein,5000,Tracer,50,Competitor 3,488.28125,nM
C12,Compound,,Protein,5000,Tracer,50,Competitor 3,244.140625,nM
C13,Compound,,Protein,5000,Tracer,50,Competitor 3,122.0703125,nM
C14,Compound,,Protein,5000,Tracer,50,Competitor 3,61.03515625,nM
C15,Compound,,Protein,5000,Tracer,50,Competitor 3,30.51757813,nM
C16,Compound,,Protein,5000,Tracer,50,Competitor 3,15.25878906,nM
C17,,,,,,,,,
C18,,,,,,,,,
C19,Blank,,Protein,5000,,,Competitor 2,125000,nM
C20,Blank,,Protein,5000,,,Competitor 2,125000,nM
C21,Blank,,Protein,5000,,,Competitor 2,125000,nM
C22,Compound,,Protein,5000,Tracer,50,Competitor 2,125000,nM
C23,Compound,,Protein,5000,Tracer,50,Competitor 2,125000,nM
C24,Compound,,Protein,5000,Tracer,50,Competitor 2,125000,nM
D1,Compound,,Protein,5000,Tracer,50,Competitor 3,500000,nM
D2,Compound,,Protein,5000,Tracer,50,Competitor 3,250000,nM
D3,Compound,,Protein,5000,Tracer,50,Competitor 3,125000,nM
D4,Compound,,Protein,5000,Tracer,50,Competitor 3,62500,nM
D5,Compound,,Protein,5000,Tracer,50,Competitor 3,31250,nM
D6,Compound,,Protein,5000,Tracer,50,Competitor 3,15625,nM
D7,Compound,,Protein,5000,Tracer,50,Competitor 3,7812.5,nM
D8,Compound,,Protein,5000,Tracer,50,Competitor 3,3906.25,nM
D9,Compound,,Protein,5000,Tracer,50,Competitor 3,1953.125,nM
D10,Compound,,Protein,5000,Tracer,50,Competitor 3,976.5625,nM
D11,Compound,,Protein,5000,Tracer,50,Competitor 3,488.28125,nM
D12,Compound,,Protein,5000,Tracer,50,Competitor 3,244.140625,nM
D13,Compound,,Protein,5000,Tracer,50,Competitor 3,122.0703125,nM
D14,Compound,,Protein,5000,Tracer,50,Competitor 3,61.03515625,nM
D15,Compound,,Protein,5000,Tracer,50,Competitor 3,30.51757813,nM
D16,Compound,,Protein,5000,Tracer,50,Competitor 3,15.25878906,nM
D17,,,,,,,,,
D18,,,,,,,,,
D19,Blank,,Protein,5000,,,Competitor 2,62500,nM
D20,Blank,,Protein,5000,,,Competitor 2,62500,nM
D21,Blank,,Protein,5000,,,Competitor 2,62500,nM
D22,Compound,,Protein,5000,Tracer,50,Competitor 2,62500,nM
D23,Compound,,Protein,5000,Tracer,50,Competitor 2,62500,nM
D24,Compound,,Protein,5000,Tracer,50,Competitor 2,62500,nM
E1,Compound,,Protein,5000,Tracer,50,Competitor 3,500000,nM
E2,Compound,,Protein,5000,Tracer,50,Competitor 3,250000,nM
E3,Compound,,Protein,5000,Tracer,50,Competitor 3,125000,nM
E4,Compound,,Protein,5000,Tracer,50,Competitor 3,62500,nM
E5,Compound,,Protein,5000,Tracer,50,Competitor 3,31250,nM
E6,Compound,,Protein,5000,Tracer,50,Competitor 3,15625,nM
E7,Compound,,Protein,5000,Tracer,50,Competitor 3,7812.5,nM
E8,Compound,,Protein,5000,Tracer,50,Competitor 3,3906.25,nM
E9,Compound,,Protein,5000,Tracer,50,Competitor 3,1953.125,nM
E10,Compound,,Protein,5000,Tracer,50,Competitor 3,976.5625,nM
E11,Compound,,Protein,5000,Tracer,50,Competitor 3,488.28125,nM
E12,Compound,,Protein,5000,Tracer,50,Competitor 3,244.140625,nM
E13,Compound,,Protein,5000,Tracer,50,Competitor 3,122.0703125,nM
E14,Compound,,Protein,5000,Tracer,50,Competitor 3,61.03515625,nM
E15,Compound,,Protein,5000,Tracer,50,Competitor 3,30.51757813,nM
E16,Compound,,Protein,5000,Tracer,50,Competitor 3,15.25878906,nM
E17,,,,,,,,,
E18,,,,,,,,,
E19,Blank,,Protein,5000,,,Competitor 2,31250,nM
E20,Blank,,Protein,5000,,,Competitor 2,31250,nM
E21,Blank,,Protein,5000,,,Competitor 2,31250,nM
E22,Compound,,Protein,5000,Tracer,50,Competitor 2,31250,nM
E23,Compound,,Protein,5000,Tracer,50,Competitor 2,31250,nM
E24,Compound,,Protein,5000,Tracer,50,Competitor 2,31250,nM
F1,Blank,,Protein,5000,,,Competitor 3,500000,nM
F2,Blank,,Protein,5000,,,Competitor 3,250000,nM
F3,Blank,,Protein,5000,,,Competitor 3,125000,nM
F4,Blank,,Protein,5000,,,Competitor 3,62500,nM
F5,Blank,,Protein,5000,,,Competitor 3,31250,nM
F6,Blank,,Protein,5000,,,Competitor 3,15625,nM
F7,Blank,,Protein,5000,,,Competitor 3,7812.5,nM
F8,Blank,,Protein,5000,,,Competitor 3,3906.25,nM
F9,Blank,,Protein,5000,,,Competitor 3,1953.125,nM
F10,Blank,,Protein,5000,,,Competitor 3,976.5625,nM
F11,Blank,,Protein,5000,,,Competitor 3,488.28125,nM
F12,Blank,,Protein,5000,,,Competitor 3,244.140625,nM
F13,Blank,,Protein,5000,,,Competitor 3,122.0703125,nM
