Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
1,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Fluorescence anisotropy (FA) = 1000 * (S - G * P) / (S + G * 2 * P) where S = <detector 2 or Toms LissamineFP(1) channel 2> P = <detector 1 or Toms LissamineFP(1) channel 1> G = G-factor,14/12/2020 15:35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
1,Toms LissamineFP,0,155454,30,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (15),,,,,,,,,,,,,,,,,,
1,Toms LissamineFP,0,212912,30,00:00.0,De=2nd Ex=Top Em=Top Wdw=N/A (142),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Fluorescence anisotropy (FA) = 1000 * (S - G * P) / (S + G * 2 * P) where S = <detector 2 or Toms LissamineFP(1) channel 2> P = <detector 1 or Toms LissamineFP(1) channel 1> G = G-factor,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,249.1,266.2,246.9,252,240.6,258.2,264.4,265.4,263.5,237,205.3,199.5,170.5,172.5,164.1,166.8,160.7,161.3,165.2,172,161.2,164.8,157.3,153.1
B,276.3,241.9,277.6,269.4,265,205.3,269.5,267.6,273,259.6,242.1,211.6,184.5,174,163,165.1,167,167,168.3,169.1,172.8,159.4,136.6,146.5
C,281,265.7,238.4,248.1,257,262,265.5,262.4,259.8,260.9,248.1,196.6,176.5,175.8,171.5,170.7,165,166.3,157,167.5,162.5,155.1,159.4,156.2
D,251.1,259.5,250.7,234,236.9,226.2,233.7,226.5,230.5,236.6,228.3,228.5,227.5,234.7,235.2,224.1,232.9,217.3,230.2,225.4,213.7,213.7,226.4,239
E,268.7,244.1,233,229.3,231.6,236.6,225.3,231.5,242.8,227.8,232.8,230.6,232.7,230.1,244.1,231.5,235.7,227.8,233.8,231.3,236.5,225.4,240.2,235.5
F,270.9,230.8,247.2,222.1,234.8,223.3,231.1,236.6,229.7,223.6,226.8,228.8,237,225.1,215.3,237.7,231.2,234.5,248.7,237.7,218.1,226.9,224.4,243.6
G,232.6,238.7,232.2,246.4,229.3,244.8,215.7,199.2,191.8,172.4,153,157.6,152.2,152.3,156.4,166.2,161.9,168.1,160.6,177.4,163.2,176.3,164.5,164.4
H,253.5,234.6,228.8,219,226.8,172.9,205.5,189.7,183,159.8,159.5,145.7,153.9,155.9,171.2,164,163.9,162.8,168.9,162.7,131.1,163.7,172.5,142.4
I,224.2,238.6,193.2,223,209.2,214.4,194.1,188.5,175.5,170.2,153.2,147,148.2,153.5,159,153.1,159.5,171.2,160.9,150.5,164.6,135.6,158.3,164.2
J,238.8,227.9,226.4,230.7,229,230.3,224.4,240.1,229.9,235.3,225.2,221.7,233.3,232.2,223.4,236.4,230.3,226.1,230.3,225.2,225.7,217,224.6,246.4
K,235.1,234.8,222.1,226.8,233.9,232.2,216.4,236.2,220.1,226.9,222.7,226.1,233.8,225,241,225.3,247.3,226.8,241.6,229.4,225.8,226.1,232.8,230.2
L,230.5,227,230.9,231.2,216.8,228.5,219.9,226.9,227.5,234.8,236.4,226.6,242.8,221.8,222.4,235.8,232.1,238.5,234,228.5,237.3,236.6,235.8,238.5
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
1,1,,14.43,15.56,15.46,48.6,48.1,15.07,15.07,1,Toms LissamineFP(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (15),0,14/12/2020 15:35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
1,Toms LissamineFP,0,155454,30,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (15),,,,,,,,,,,,,,,,,,
1,Toms LissamineFP,0,212912,30,00:00.0,De=2nd Ex=Top Em=Top Wdw=N/A (142),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Toms LissamineFP(1) - P channel (RFU),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,129641,189497,121812,98823,114897,174242,87801,130112,129553,91074,101733,138443,131918,123881,121096,125463,126620,128586,126175,119596,141202,132962,138194,130644
B,157336,162450,137974,146480,150502,133185,143846,134844,125747,132337,127742,133197,127012,128983,126932,123214,126433,123193,130200,135242,123502,131011,148367,150203
C,149971,150155,99324,87424,170805,160068,145200,127210,127295,117663,132486,120706,121912,125802,126737,122272,123306,123691,133946,120403,127094,130077,125844,128979
D,39267,38445,34310,32870,32181,29395,30463,30534,30921,33053,30374,30284,29986,30648,29864,30382,30146,30992,30650,30707,28852,31084,29795,34995
E,37913,35013,32452,31688,34033,32124,33803,29864,30749,30830,30712,29946,29831,29704,29455,30280,29796,33052,31488,30544,31692,31324,30052,31129
F,41397,36021,35179,34544,32113,31523,30680,30459,31158,31706,30314,30640,31223,29291,31279,29514,29938,29913,29363,29434,30502,30150,30229,34393
G,83491,115887,82902,85342,87617,80267,113022,114086,119452,119876,127301,121542,120726,125850,113275,118437,116376,114534,119091,109225,119502,109270,116788,124832
H,89268,119927,128131,122686,120996,107277,116690,122120,118351,113798,114982,126032,108094,114034,116676,117107,117580,125224,117868,117855,158080,107799,110351,147862
I,115329,109638,81384,103080,101168,82083,125435,119330,112109,107796,129603,121792,112119,113072,114550,115091,128523,117540,133760,129474,113783,142813,118890,115728
J,31064,31386,31108,30596,30354,29811,30383,29901,30156,30834,30393,30965,30154,30514,30051,29269,29786,29796,30911,30275,29595,30308,30581,34737
K,29719,30682,29970,31109,28985,30517,30309,29325,30648,30168,31303,36046,29451,30116,29813,30606,29502,30355,30113,31085,30817,30244,31575,31272
L,28590,30179,30762,30509,31118,29965,29687,32529,30229,30878,29917,30321,28668,29582,30558,29888,30555,29645,30138,30246,29092,30174,28891,35020
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
